,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-TFUEL,2022-12-05,2022-12-05T09:00:00,61.6,61.6,60.2,60.5,1670284794866,2294105347.8904357,37683751.21765525,61.4,-0.9,-0.0146579805
1,KRW-TFUEL,2022-12-06,2022-12-06T09:00:00,60.5,60.9,59.4,60.4,1670371196326,2277537327.7550473,37941503.0415975,60.5,-0.1,-0.0016528926
2,KRW-TFUEL,2022-12-07,2022-12-07T09:00:00,60.5,61.6,57.0,58.4,1670457580537,4636973283.935026,78486842.01681124,60.4,-2.0,-0.0331125828
3,KRW-TFUEL,2022-12-08,2022-12-08T09:00:00,58.4,59.0,57.2,58.7,1670543960318,2735227063.8881617,47089940.22357205,58.4,0.3,0.0051369863
4,KRW-TFUEL,2022-12-09,2022-12-09T09:00:00,58.7,61.1,58.0,59.1,1670630369198,6415640634.652023,108438738.11118805,58.7,0.4,0.0068143101
5,KRW-TFUEL,2022-12-10,2022-12-10T09:00:00,59.0,60.5,58.4,59.2,1670716792764,5067416897.227074,85803845.7121267,59.1,0.1,0.0016920474
6,KRW-TFUEL,2022-12-11,2022-12-11T09:00:00,59.2,59.2,57.6,57.9,1670803138477,2610333831.219112,44650774.13706025,59.2,-1.3,-0.0219594595
7,KRW-TFUEL,2022-12-12,2022-12-12T09:00:00,57.9,57.9,54.8,56.1,1670889561058,4110264137.474351,73550197.63944504,57.9,-1.8,-0.0310880829
8,KRW-TFUEL,2022-12-13,2022-12-13T09:00:00,56.2,56.8,53.2,56.1,1670975977606,3795037927.694318,68934847.4264523,56.1,,0.0
9,KRW-TFUEL,2022-12-14,2022-12-14T09:00:00,56.1,56.1,54.7,54.7,1671062369883,1607163516.132192,28969094.86043181,56.1,-1.4,-0.0249554367
10,KRW-TFUEL,2022-12-15,2022-12-15T09:00:00,54.9,55.9,53.5,54.5,1671148761955,1932706377.0818064,35368415.51943205,54.7,-0.2,-0.0036563071
11,KRW-TFUEL,2022-12-16,2022-12-16T09:00:00,54.3,55.8,49.1,50.1,1671235188811,3095391288.442307,58580446.72935644,54.5,-4.4,-0.080733945
12,KRW-TFUEL,2022-12-17,2022-12-17T09:00:00,50.0,50.5,45.5,48.8,1671321598890,2809166457.439582,58991330.90023437,50.1,-1.3,-0.0259481038
13,KRW-TFUEL,2022-12-18,2022-12-18T09:00:00,48.8,50.5,47.5,48.4,1671407937248,1888872697.495158,38669873.70278249,48.8,-0.4,-0.0081967213
14,KRW-TFUEL,2022-12-19,2022-12-19T09:00:00,48.5,48.7,44.2,45.3,1671494347352,1739329161.7077584,37421788.46357917,48.4,-3.1,-0.0640495868
15,KRW-TFUEL,2022-12-20,2022-12-20T09:00:00,45.3,47.9,44.1,47.5,1671580798239,1806394985.1044679,38877526.79187264,45.3,2.2,0.0485651214
16,KRW-TFUEL,2022-12-21,2022-12-21T09:00:00,47.4,48.3,47.0,47.6,1671667169853,1102984659.720562,23211156.94180579,47.5,0.1,0.0021052632
17,KRW-TFUEL,2022-12-22,2022-12-22T09:00:00,47.6,50.2,45.7,46.7,1671753570692,4346994322.565812,90675810.2541965,47.6,-0.9,-0.018907563
18,KRW-TFUEL,2022-12-23,2022-12-23T09:00:00,46.7,49.9,46.3,48.9,1671839998704,8135806365.692078,168898901.17532343,46.7,2.2,0.0471092077
19,KRW-TFUEL,2022-12-24,2022-12-24T09:00:00,48.8,49.6,48.0,48.5,1671926399507,1640043833.9957547,33698559.28054155,48.9,-0.4,-0.0081799591
