,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-THETA,2022-12-05,2022-12-05T09:00:00,1195.0,1215.0,1175.0,1180.0,1670284792460,1879666138.4874945,1575420.83919494,1195.0,-15.0,-0.0125523013
1,KRW-THETA,2022-12-06,2022-12-06T09:00:00,1175.0,1210.0,1170.0,1205.0,1670371195358,1325033425.8787317,1118312.67387878,1180.0,25.0,0.0211864407
2,KRW-THETA,2022-12-07,2022-12-07T09:00:00,1205.0,1210.0,1135.0,1175.0,1670457125421,1445672452.4865332,1236382.08270328,1205.0,-30.0,-0.0248962656
3,KRW-THETA,2022-12-08,2022-12-08T09:00:00,1175.0,1175.0,1125.0,1165.0,1670543986056,1954963073.787548,1699860.25551357,1175.0,-10.0,-0.0085106383
4,KRW-THETA,2022-12-09,2022-12-09T09:00:00,1170.0,1170.0,1140.0,1145.0,1670630194400,1406261258.755653,1215978.82084231,1165.0,-20.0,-0.017167382
5,KRW-THETA,2022-12-10,2022-12-10T09:00:00,1145.0,1160.0,1135.0,1140.0,1670716799582,1355210379.5278063,1183608.94820148,1145.0,-5.0,-0.0043668122
6,KRW-THETA,2022-12-11,2022-12-11T09:00:00,1140.0,1155.0,1125.0,1125.0,1670803177086,1250654832.279681,1097890.77076145,1140.0,-15.0,-0.0131578947
7,KRW-THETA,2022-12-12,2022-12-12T09:00:00,1130.0,1130.0,1080.0,1100.0,1670889598649,2220899350.6767793,2018573.91698775,1125.0,-25.0,-0.0222222222
8,KRW-THETA,2022-12-13,2022-12-13T09:00:00,1100.0,1115.0,1050.0,1105.0,1670975860323,2146383828.6589868,1979240.0322584,1100.0,5.0,0.0045454545
9,KRW-THETA,2022-12-14,2022-12-14T09:00:00,1105.0,1115.0,1075.0,1080.0,1671062376054,1212744732.8470953,1104494.0526632,1105.0,-25.0,-0.0226244344
