,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-TON,2022-12-05,2022-12-05T09:00:00,1660.0,1665.0,1620.0,1630.0,1670284791045,877494754.4909254,536240.11184955,1650.0,-20.0,-0.0121212121
1,KRW-TON,2022-12-06,2022-12-06T09:00:00,1630.0,1665.0,1625.0,1640.0,1670371191159,1006936160.4218287,613501.87982462,1630.0,10.0,0.0061349693
2,KRW-TON,2022-12-07,2022-12-07T09:00:00,1645.0,1645.0,1540.0,1610.0,1670457590737,966891368.4502257,608704.90349832,1640.0,-30.0,-0.0182926829
3,KRW-TON,2022-12-08,2022-12-08T09:00:00,1605.0,1640.0,1550.0,1640.0,1670543993932,606733380.3317177,377769.22606179,1610.0,30.0,0.0186335404
4,KRW-TON,2022-12-09,2022-12-09T09:00:00,1635.0,1765.0,1605.0,1655.0,1670630351283,3900014525.528779,2326091.58156864,1640.0,15.0,0.0091463415
5,KRW-TON,2022-12-10,2022-12-10T09:00:00,1655.0,1715.0,1635.0,1695.0,1670716790579,1971280217.862529,1180887.14419967,1655.0,40.0,0.0241691843
6,KRW-TON,2022-12-11,2022-12-11T09:00:00,1700.0,1780.0,1635.0,1640.0,1670803187762,5994587679.791208,3514986.81930136,1695.0,-55.0,-0.0324483776
7,KRW-TON,2022-12-12,2022-12-12T09:00:00,1640.0,1650.0,1565.0,1620.0,1670889570820,759482840.6715384,476665.58177958,1640.0,-20.0,-0.012195122
8,KRW-TON,2022-12-13,2022-12-13T09:00:00,1620.0,1695.0,1530.0,1670.0,1670975996944,4628568489.832343,2828391.75333799,1620.0,50.0,0.0308641975
9,KRW-TON,2022-12-14,2022-12-14T09:00:00,1670.0,1790.0,1620.0,1640.0,1671062368253,6955112228.711562,4078430.80992581,1670.0,-30.0,-0.0179640719
10,KRW-TON,2022-12-15,2022-12-15T09:00:00,1635.0,1660.0,1595.0,1620.0,1671148786657,1462306486.875691,900452.69698044,1640.0,-20.0,-0.012195122
11,KRW-TON,2022-12-16,2022-12-16T09:00:00,1620.0,1620.0,1450.0,1490.0,1671235162656,1418958015.6627016,911854.19551976,1620.0,-130.0,-0.0802469136
12,KRW-TON,2022-12-17,2022-12-17T09:00:00,1485.0,1500.0,1380.0,1455.0,1671321472826,884346522.2248789,618853.82884851,1490.0,-35.0,-0.0234899329
13,KRW-TON,2022-12-18,2022-12-18T09:00:00,1455.0,1500.0,1435.0,1455.0,1671407953539,649010311.7181038,443571.00640516,1455.0,,0.0
14,KRW-TON,2022-12-19,2022-12-19T09:00:00,1460.0,1475.0,1350.0,1385.0,1671494389637,756020081.9442556,531565.0081058,1455.0,-70.0,-0.0481099656
15,KRW-TON,2022-12-20,2022-12-20T09:00:00,1385.0,1490.0,1385.0,1475.0,1671580716362,3203130561.7394853,2224083.24884657,1385.0,90.0,0.0649819495
16,KRW-TON,2022-12-21,2022-12-21T09:00:00,1470.0,1485.0,1435.0,1475.0,1671667193192,801251261.1953768,548130.41541436,1475.0,,0.0
17,KRW-TON,2022-12-22,2022-12-22T09:00:00,1475.0,1485.0,1410.0,1445.0,1671753599563,656550030.1032492,452433.46280752,1475.0,-30.0,-0.0203389831
18,KRW-TON,2022-12-23,2022-12-23T09:00:00,1450.0,1520.0,1435.0,1465.0,1671839992906,2280742513.426037,1537751.16911214,1445.0,20.0,0.0138408304
19,KRW-TON,2022-12-24,2022-12-24T09:00:00,1470.0,1495.0,1440.0,1475.0,1671926383716,812999457.8152574,553063.85544741,1465.0,10.0,0.0068259386
20,KRW-TON,2022-12-25,2022-12-25T09:00:00,1475.0,1475.0,1425.0,1440.0,1672012753040,682088879.990802,470169.45937693,1475.0,-35.0,-0.0237288136
21,KRW-TON,2022-12-26,2022-12-26T09:00:00,1435.0,1455.0,1385.0,1420.0,1672099128769,573328199.8281604,403320.54535545,1440.0,-20.0,-0.0138888889
22,KRW-TON,2022-12-27,2022-12-27T09:00:00,1415.0,1480.0,1360.0,1390.0,1672185598756,1447077759.2026896,1014998.72485917,1420.0,-30.0,-0.0211267606
23,KRW-TON,2022-12-28,2022-12-28T09:00:00,1390.0,1400.0,1290.0,1310.0,1672271957267,729847021.6469979,548924.43188228,1390.0,-80.0,-0.0575539568
24,KRW-TON,2022-12-29,2022-12-29T09:00:00,1315.0,1360.0,1245.0,1355.0,1672358368545,614122898.4949545,468359.3071865,1310.0,45.0,0.034351145
25,KRW-TON,2022-12-30,2022-12-30T09:00:00,1355.0,1355.0,1260.0,1310.0,1672444777966,501579058.29845375,386793.89269759,1355.0,-45.0,-0.0332103321
26,KRW-TON,2022-12-31,2022-12-31T09:00:00,1300.0,1375.0,1295.0,1345.0,1672531194544,1479676711.410959,1106497.55450685,1310.0,35.0,0.0267175573
27,KRW-TON,2023-01-01,2023-01-01T09:00:00,1340.0,1350.0,1320.0,1330.0,1672617595686,308277162.46994054,232053.79131408,1345.0,-15.0,-0.0111524164
28,KRW-TON,2023-01-02,2023-01-02T09:00:00,1330.0,1360.0,1320.0,1340.0,1672703965085,690171241.5050666,515660.0899963,1330.0,10.0,0.007518797
29,KRW-TON,2023-01-03,2023-01-03T09:00:00,1340.0,1385.0,1330.0,1345.0,1672790271849,832078272.8325952,614080.16685664,1340.0,5.0,0.0037313433
