,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-TT,2022-12-05,2022-12-05T09:00:00,5.15,5.2,5.01,5.08,1670284785066,1726101600.4483144,338698295.4952156,5.14,-0.06,-0.0116731518
1,KRW-TT,2022-12-06,2022-12-06T09:00:00,5.08,5.1,4.98,5.09,1670371164568,767397105.882347,152021556.7125775,5.08,0.01,0.0019685039
2,KRW-TT,2022-12-07,2022-12-07T09:00:00,5.08,5.15,4.74,5.06,1670457526427,3799379222.1434293,760760035.5313759,5.09,-0.03,-0.0058939096
3,KRW-TT,2022-12-08,2022-12-08T09:00:00,5.06,5.18,4.93,5.07,1670543970523,2865898810.6182275,565465782.4076395,5.06,0.01,0.0019762846
4,KRW-TT,2022-12-09,2022-12-09T09:00:00,5.08,5.28,4.99,5.19,1670630396209,4386964125.23643,849091874.8763664,5.07,0.12,0.0236686391
5,KRW-TT,2022-12-10,2022-12-10T09:00:00,5.19,5.51,5.12,5.2,1670716781981,7636024544.171536,1435007678.8149927,5.19,0.01,0.0019267823
6,KRW-TT,2022-12-11,2022-12-11T09:00:00,5.19,5.19,5.02,5.06,1670803165872,1766602435.0512514,346628828.2758749,5.2,-0.14,-0.0269230769
7,KRW-TT,2022-12-12,2022-12-12T09:00:00,5.05,5.05,4.82,4.97,1670889568132,1331363090.3963404,269830971.7841685,5.06,-0.09,-0.0177865613
8,KRW-TT,2022-12-13,2022-12-13T09:00:00,4.97,5.15,4.81,5.06,1670975999905,6138943748.607155,1225078975.7299442,4.97,0.09,0.0181086519
9,KRW-TT,2022-12-14,2022-12-14T09:00:00,5.08,5.09,4.93,4.96,1671062385220,1467265264.072483,292990883.3530517,5.06,-0.1,-0.0197628458
10,KRW-TT,2022-12-15,2022-12-15T09:00:00,4.95,5.05,4.86,4.86,1671148767093,1825851084.501647,370082222.01009005,4.96,-0.1,-0.0201612903
11,KRW-TT,2022-12-16,2022-12-16T09:00:00,4.86,4.98,4.41,4.49,1671235128298,2156220384.8401756,451832338.7454219,4.86,-0.37,-0.0761316872
12,KRW-TT,2022-12-17,2022-12-17T09:00:00,4.52,4.67,4.29,4.46,1671321556464,870608443.7739644,196915374.1531959,4.49,-0.03,-0.0066815145
13,KRW-TT,2022-12-18,2022-12-18T09:00:00,4.45,4.6,4.36,4.49,1671407983140,988344676.2867397,219726222.1766955,4.46,0.03,0.0067264574
14,KRW-TT,2022-12-19,2022-12-19T09:00:00,4.49,4.49,4.12,4.27,1671494383803,884725897.6877062,204607339.441651,4.49,-0.22,-0.0489977728
15,KRW-TT,2022-12-20,2022-12-20T09:00:00,4.28,4.49,4.19,4.46,1671580773113,1035606686.2503054,235123485.41559765,4.27,0.19,0.0444964871
16,KRW-TT,2022-12-21,2022-12-21T09:00:00,4.46,4.77,4.4,4.49,1671667170950,4333042055.223685,943874526.7085398,4.46,0.03,0.0067264574
17,KRW-TT,2022-12-22,2022-12-22T09:00:00,4.5,4.53,4.33,4.43,1671753572877,839718132.089672,189866587.97485107,4.49,-0.06,-0.013363029
18,KRW-TT,2022-12-23,2022-12-23T09:00:00,4.43,4.49,4.31,4.48,1671839964197,527188669.3904419,119196475.56273557,4.43,0.05,0.0112866817
19,KRW-TT,2022-12-24,2022-12-24T09:00:00,4.46,4.55,4.44,4.52,1671926374040,536671550.21202254,119572244.92221436,4.48,0.04,0.0089285714
20,KRW-TT,2022-12-25,2022-12-25T09:00:00,4.52,4.53,4.42,4.47,1672012743910,403165495.4991273,90216054.49080887,4.52,-0.05,-0.0110619469
21,KRW-TT,2022-12-26,2022-12-26T09:00:00,4.47,4.47,4.25,4.37,1672099180365,732675298.0919344,168739150.15761986,4.47,-0.1,-0.0223713647
22,KRW-TT,2022-12-27,2022-12-27T09:00:00,4.36,4.38,4.19,4.22,1672185565597,704731718.4163253,165181119.17322144,4.37,-0.15,-0.0343249428
23,KRW-TT,2022-12-28,2022-12-28T09:00:00,4.21,4.25,3.86,3.96,1672271973357,1211796227.3450062,301002635.37223315,4.22,-0.26,-0.0616113744
24,KRW-TT,2022-12-29,2022-12-29T09:00:00,3.99,3.99,3.75,3.94,1672358312237,811237497.6963726,209613849.32846412,3.96,-0.02,-0.0050505051
25,KRW-TT,2022-12-30,2022-12-30T09:00:00,3.93,3.94,3.75,3.87,1672444799174,536772351.91385305,140055127.51178172,3.94,-0.07,-0.0177664975
26,KRW-TT,2022-12-31,2022-12-31T09:00:00,3.85,4.15,3.81,3.95,1672531180738,1414832645.8044872,356349664.11946845,3.87,0.08,0.0206718346
27,KRW-TT,2023-01-01,2023-01-01T09:00:00,3.96,4.0,3.91,3.97,1672617597527,421636307.76008517,106747029.01999155,3.95,0.02,0.0050632911
28,KRW-TT,2023-01-02,2023-01-02T09:00:00,3.96,4.04,3.92,3.99,1672703977162,514194242.08434075,129053690.95731756,3.97,0.02,0.0050377834
29,KRW-TT,2023-01-03,2023-01-03T09:00:00,3.99,4.04,3.91,3.96,1672790392827,560967105.7050285,141046414.10742608,3.99,-0.03,-0.007518797
30,KRW-TT,2023-01-04,2023-01-04T09:00:00,3.96,4.06,3.93,4.03,1672876768161,483472606.98308605,120586600.8738273,3.96,0.07,0.0176767677
31,KRW-TT,2023-01-05,2023-01-05T09:00:00,4.01,4.6,3.97,4.09,1672963198554,18391644594.54426,4270654146.4427967,4.03,0.06,0.0148883375
32,KRW-TT,2023-01-06,2023-01-06T09:00:00,4.09,4.1,3.93,4.04,1673049596015,2170683056.121927,541371596.6696508,4.09,-0.05,-0.0122249389
33,KRW-TT,2023-01-07,2023-01-07T09:00:00,4.04,4.05,3.99,4.03,1673135980944,745612844.4625973,185486757.5058274,4.04,-0.01,-0.0024752475
34,KRW-TT,2023-01-08,2023-01-08T09:00:00,4.05,4.34,4.03,4.14,1673222366120,10057168107.785822,2419115624.0226254,4.03,0.11,0.0272952854
35,KRW-TT,2023-01-09,2023-01-09T09:00:00,4.13,4.27,4.1,4.21,1673308799676,3030531212.6853514,726379463.5697771,4.14,0.07,0.0169082126
36,KRW-TT,2023-01-10,2023-01-10T09:00:00,4.21,4.31,4.15,4.25,1673395166394,2721270594.2836404,642410509.6904594,4.21,0.04,0.0095011876
37,KRW-TT,2023-01-11,2023-01-11T09:00:00,4.25,4.46,4.25,4.37,1673481595686,4799476593.316336,1108374948.6383939,4.25,0.12,0.0282352941
38,KRW-TT,2023-01-12,2023-01-12T09:00:00,4.35,4.43,4.21,4.41,1673567999912,2403686176.5800905,553572183.5767218,4.37,0.04,0.0091533181
39,KRW-TT,2023-01-13,2023-01-13T09:00:00,4.41,4.58,4.37,4.55,1673654395751,3602555287.5543633,803940051.5284644,4.41,0.14,0.0317460317
40,KRW-TT,2023-01-14,2023-01-14T09:00:00,4.56,4.8,4.41,4.69,1673740782293,5703502990.53538,1236178922.7176998,4.55,0.14,0.0307692308
41,KRW-TT,2023-01-15,2023-01-15T09:00:00,4.7,5.27,4.65,4.97,1673827199112,23210329128.615303,4697084164.397923,4.69,0.28,0.0597014925
42,KRW-TT,2023-01-16,2023-01-16T09:00:00,4.97,5.03,4.71,4.87,1673913589917,5939802670.754568,1216609010.6266763,4.97,-0.1,-0.0201207243
43,KRW-TT,2023-01-17,2023-01-17T09:00:00,4.88,5.18,4.76,5.09,1673999996162,5075826132.280782,1021569061.3007704,4.87,0.22,0.045174538
44,KRW-TT,2023-01-18,2023-01-18T09:00:00,5.09,5.09,4.65,4.72,1674086386644,4095213408.0667324,837851968.8219918,5.09,-0.37,-0.0726915521
45,KRW-TT,2023-01-19,2023-01-19T09:00:00,4.68,4.88,4.68,4.87,1674172767189,1789565327.4780748,374914461.4495958,4.72,0.15,0.031779661
46,KRW-TT,2023-01-20,2023-01-20T09:00:00,4.87,5.13,4.8,5.12,1674259194468,2073525845.9641294,420356303.62591904,4.87,0.25,0.0513347023
47,KRW-TT,2023-01-21,2023-01-21T09:00:00,5.13,5.31,5.02,5.16,1674345583427,4800738799.920421,931000212.6019071,5.12,0.04,0.0078125
48,KRW-TT,2023-01-22,2023-01-22T09:00:00,5.17,5.18,5.06,5.18,1674431988081,2235788327.562404,436245441.41599244,5.16,0.02,0.003875969
49,KRW-TT,2023-01-23,2023-01-23T09:00:00,5.17,5.37,5.13,5.32,1674518387827,3296010321.8354897,633954858.9640969,5.18,0.14,0.027027027
50,KRW-TT,2023-01-24,2023-01-24T09:00:00,5.32,5.79,4.94,5.09,1674604771092,19017972458.739014,3479312212.114128,5.32,-0.23,-0.0432330827
51,KRW-TT,2023-01-25,2023-01-25T09:00:00,5.09,5.37,4.73,5.23,1674691195863,7163673435.853506,1396675442.8060064,5.09,0.14,0.0275049116
52,KRW-TT,2023-01-26,2023-01-26T09:00:00,5.23,5.35,5.14,5.24,1674777574648,2591179288.8202853,497464543.32166666,5.23,0.01,0.0019120459
53,KRW-TT,2023-01-27,2023-01-27T09:00:00,5.23,5.85,5.1,5.5,1674863999462,19107095401.000637,3479263949.5398827,5.24,0.26,0.0496183206
54,KRW-TT,2023-01-28,2023-01-28T09:00:00,5.5,5.87,5.28,5.45,1674950367807,10747396601.035286,1931553025.5183048,5.5,-0.05,-0.0090909091
55,KRW-TT,2023-01-29,2023-01-29T09:00:00,5.43,5.64,5.37,5.47,1675036778762,7367616415.326937,1337310925.4263446,5.45,0.02,0.0036697248
56,KRW-TT,2023-01-30,2023-01-30T09:00:00,5.48,5.62,4.93,5.04,1675123198893,4694897847.40693,892149257.2044789,5.47,-0.43,-0.0786106033
57,KRW-TT,2023-01-31,2023-01-31T09:00:00,5.04,5.14,4.8,5.1,1675209593169,2584464341.3941417,517759577.34118634,5.04,0.06,0.0119047619
58,KRW-TT,2023-02-01,2023-02-01T09:00:00,5.1,5.47,4.86,5.33,1675295980758,14823346447.097847,2844331291.6493497,5.1,0.23,0.0450980392
59,KRW-TT,2023-02-02,2023-02-02T09:00:00,5.34,6.03,5.28,5.8,1675382398899,42612003758.47672,7450271731.693137,5.33,0.47,0.0881801126
60,KRW-TT,2023-02-03,2023-02-03T09:00:00,5.8,6.15,5.68,6.12,1675468799716,17968917640.265614,3042910481.6828065,5.8,0.32,0.0551724138
61,KRW-TT,2023-02-04,2023-02-04T09:00:00,6.12,6.13,5.87,6.02,1675555198756,5409250916.141175,906440110.6156157,6.12,-0.1,-0.0163398693
62,KRW-TT,2023-02-05,2023-02-05T09:00:00,6.01,6.49,5.48,6.08,1675641599956,20235483959.651993,3345717727.8170576,6.02,0.06,0.0099667774
63,KRW-TT,2023-02-06,2023-02-06T09:00:00,6.08,6.29,5.83,6.13,1675727999785,7220018019.6890545,1189898005.1057124,6.08,0.05,0.0082236842
64,KRW-TT,2023-02-07,2023-02-07T09:00:00,6.13,6.24,5.87,6.21,1675814399972,6257764718.318135,1039095130.8469106,6.13,0.08,0.013050571
65,KRW-TT,2023-02-08,2023-02-08T09:00:00,6.21,6.71,6.11,6.55,1675900799943,31383027319.58675,4846581751.111758,6.21,0.34,0.0547504026
66,KRW-TT,2023-02-09,2023-02-09T09:00:00,6.55,6.55,5.83,5.89,1675987180611,8916487363.240122,1447644910.674435,6.55,-0.66,-0.1007633588
67,KRW-TT,2023-02-10,2023-02-10T09:00:00,5.89,6.17,5.66,5.97,1676073595909,5291192152.965103,896379860.2958927,5.89,0.08,0.013582343
68,KRW-TT,2023-02-11,2023-02-11T09:00:00,5.97,5.99,5.85,5.98,1676159992221,1204716533.7642612,203464553.90235627,5.97,0.01,0.0016750419
69,KRW-TT,2023-02-12,2023-02-12T09:00:00,5.98,6.15,5.88,5.94,1676246343938,3815374077.867494,637345893.4433669,5.98,-0.04,-0.0066889632
70,KRW-TT,2023-02-13,2023-02-13T09:00:00,5.93,6.48,5.5,5.75,1676332800074,31555548261.47636,5165847815.175641,5.94,-0.19,-0.031986532
71,KRW-TT,2023-02-14,2023-02-14T09:00:00,5.77,5.86,5.44,5.83,1676419192711,5250165716.219144,930303423.8706397,5.75,0.08,0.0139130435
72,KRW-TT,2023-02-15,2023-02-15T09:00:00,5.83,6.45,5.69,6.4,1676505596708,15028873196.343264,2465991106.4020486,5.83,0.57,0.0977701544
73,KRW-TT,2023-02-16,2023-02-16T09:00:00,6.38,7.29,6.25,6.45,1676591999930,45440483919.83814,6618265979.9118185,6.4,0.05,0.0078125
74,KRW-TT,2023-02-17,2023-02-17T09:00:00,6.45,6.73,6.25,6.67,1676678397119,7474083640.8095875,1145654893.9307914,6.45,0.22,0.0341085271
75,KRW-TT,2023-02-18,2023-02-18T09:00:00,6.67,7.0,6.57,6.8,1676764796831,16580272470.541664,2439393130.63798,6.67,0.13,0.0194902549
76,KRW-TT,2023-02-19,2023-02-19T09:00:00,6.8,6.98,6.62,6.82,1676851199620,12985378861.48683,1910567567.9706461,6.8,0.02,0.0029411765
77,KRW-TT,2023-02-20,2023-02-20T09:00:00,6.82,7.5,6.64,7.17,1676937588991,27963366099.0515,3980451157.669756,6.82,0.35,0.0513196481
78,KRW-TT,2023-02-21,2023-02-21T09:00:00,7.17,7.17,6.72,6.95,1677023999200,10937322260.57701,1579323350.1209152,7.17,-0.22,-0.0306834031
79,KRW-TT,2023-02-22,2023-02-22T09:00:00,6.92,6.95,6.55,6.85,1677110352038,4897884047.340802,730438775.1385717,6.95,-0.1,-0.0143884892
80,KRW-TT,2023-02-23,2023-02-23T09:00:00,6.84,6.9,6.6,6.86,1677196799943,3225975492.888741,479130082.18506205,6.85,0.01,0.001459854
81,KRW-TT,2023-02-24,2023-02-24T09:00:00,6.87,7.3,6.81,7.1,1677283197503,20445240206.959835,2903640443.877342,6.86,0.24,0.0349854227
82,KRW-TT,2023-02-25,2023-02-25T09:00:00,7.1,7.23,6.6,7.2,1677369599980,15483159797.992193,2220117359.957378,7.1,0.1,0.014084507
83,KRW-TT,2023-02-26,2023-02-26T09:00:00,7.19,7.73,7.01,7.27,1677455999359,42801682844.40452,5832306086.990477,7.2,0.07,0.0097222222
84,KRW-TT,2023-02-27,2023-02-27T09:00:00,7.25,7.27,6.92,7.07,1677542389264,6262945841.156383,889158671.8529671,7.27,-0.2,-0.0275103164
85,KRW-TT,2023-02-28,2023-02-28T09:00:00,7.05,7.05,6.9,6.94,1677628774842,2637809194.7842894,378660279.70464236,7.07,-0.13,-0.018387553
86,KRW-TT,2023-03-01,2023-03-01T09:00:00,6.94,7.0,6.81,6.97,1677715190093,2566972880.5206146,371031832.7374526,6.94,0.03,0.0043227666
87,KRW-TT,2023-03-02,2023-03-02T09:00:00,6.95,6.98,6.57,6.69,1677801595161,3345519896.9404635,498949370.5589325,6.97,-0.28,-0.0401721664
88,KRW-TT,2023-03-03,2023-03-03T09:00:00,6.67,6.71,6.03,6.16,1677887996785,5145761734.801261,831261400.3652217,6.69,-0.53,-0.0792227205
89,KRW-TT,2023-03-04,2023-03-04T09:00:00,6.13,6.28,6.03,6.1,1677974397216,3287289197.4243593,532474109.3039093,6.16,-0.06,-0.0097402597
90,KRW-TT,2023-03-05,2023-03-05T09:00:00,6.09,6.42,6.03,6.23,1678060799650,5607553626.042537,903578210.9655073,6.1,0.13,0.0213114754
91,KRW-TT,2023-03-06,2023-03-06T09:00:00,6.23,6.61,5.88,6.05,1678147193915,15950388193.108475,2546176898.3708744,6.23,-0.18,-0.0288924559
92,KRW-TT,2023-03-07,2023-03-07T09:00:00,6.05,6.44,5.81,6.05,1678233582381,21689965816.54795,3494514738.1579504,6.05,,0.0
93,KRW-TT,2023-03-08,2023-03-08T09:00:00,6.06,6.12,5.61,5.67,1678319986747,9289800044.744434,1567189294.38567,6.05,-0.38,-0.0628099174
94,KRW-TT,2023-03-09,2023-03-09T09:00:00,5.66,5.75,5.25,5.34,1678406344751,3260265201.5713487,589310557.6101564,5.67,-0.33,-0.0582010582
95,KRW-TT,2023-03-10,2023-03-10T09:00:00,5.33,5.51,5.09,5.4,1678492782129,5066481310.455796,961006612.235796,5.34,0.06,0.0112359551
96,KRW-TT,2023-03-11,2023-03-11T09:00:00,5.39,5.59,5.15,5.37,1678579167470,3357742060.2265787,619852786.715299,5.4,-0.03,-0.0055555556
97,KRW-TT,2023-03-12,2023-03-12T09:00:00,5.37,5.61,5.13,5.59,1678665599305,2019508150.457236,379224568.52261424,5.37,0.22,0.0409683426
98,KRW-TT,2023-03-13,2023-03-13T09:00:00,5.6,6.06,5.44,6.04,1678751997887,5703059246.987096,998945128.7233527,5.59,0.45,0.0805008945
99,KRW-TT,2023-03-14,2023-03-14T09:00:00,6.06,6.3,5.76,6.19,1678838393308,7386242685.234317,1216306801.315421,6.04,0.15,0.0248344371
100,KRW-TT,2023-03-15,2023-03-15T09:00:00,6.19,6.32,5.9,6.0,1678924784899,6479483859.260613,1046740998.095322,6.19,-0.19,-0.0306946688
101,KRW-TT,2023-03-16,2023-03-16T09:00:00,5.98,6.16,5.9,6.15,1679011182416,2206919269.1073065,365245260.8252076,6.0,0.15,0.025
102,KRW-TT,2023-03-17,2023-03-17T09:00:00,6.14,6.4,6.09,6.39,1679097595652,3751694965.0781546,601361719.5473303,6.15,0.24,0.0390243902
103,KRW-TT,2023-03-18,2023-03-18T09:00:00,6.39,6.44,6.2,6.24,1679183992814,2922405939.2368894,460631974.53312194,6.39,-0.15,-0.0234741784
104,KRW-TT,2023-03-19,2023-03-19T09:00:00,6.24,6.4,6.2,6.38,1679270387526,1896589330.3235557,302331487.7564868,6.24,0.14,0.0224358974
