,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-T,2022-12-05,2022-12-05T09:00:00,24.8,24.9,24.2,24.3,1670284790142,1432846129.3046715,58277033.24381208,24.8,-0.5,-0.0201612903
1,KRW-T,2022-12-06,2022-12-06T09:00:00,24.3,25.5,24.2,24.6,1670371192846,2597936359.961656,105130618.13680182,24.3,0.3,0.012345679
2,KRW-T,2022-12-07,2022-12-07T09:00:00,24.6,24.7,22.8,23.7,1670457520920,1754564857.800148,74142848.70652492,24.6,-0.9,-0.0365853659
3,KRW-T,2022-12-08,2022-12-08T09:00:00,23.7,25.5,23.4,24.1,1670543983602,3222732295.5430946,134487775.78380868,23.7,0.4,0.0168776371
4,KRW-T,2022-12-09,2022-12-09T09:00:00,24.2,30.3,24.1,26.7,1670630399917,65647089756.520744,2346909966.026822,24.1,2.6,0.1078838174
5,KRW-T,2022-12-10,2022-12-10T09:00:00,26.7,26.7,24.8,24.8,1670716792690,8705297808.932337,342676273.4380238,26.7,-1.9,-0.0711610487
6,KRW-T,2022-12-11,2022-12-11T09:00:00,25.0,25.0,24.2,24.2,1670803193782,2065469171.173176,83998684.75579621,24.8,-0.6,-0.0241935484
7,KRW-T,2022-12-12,2022-12-12T09:00:00,24.3,27.2,24.1,25.1,1670889600000,26606652360.081264,1044724370.6501236,24.2,0.9,0.0371900826
8,KRW-T,2022-12-13,2022-12-13T09:00:00,25.0,25.1,23.2,24.3,1670975996036,4015085088.6382318,166868750.1048532,25.1,-0.8,-0.03187251
9,KRW-T,2022-12-14,2022-12-14T09:00:00,24.3,24.3,23.8,24.0,1671062383030,1299293563.9587173,54037308.76695771,24.3,-0.3,-0.012345679
10,KRW-T,2022-12-15,2022-12-15T09:00:00,24.0,24.7,23.2,23.7,1671148799144,1863436623.865853,78825295.42261238,24.0,-0.3,-0.0125
11,KRW-T,2022-12-16,2022-12-16T09:00:00,23.7,23.9,20.6,21.2,1671235088915,2519766869.766651,112155497.59504648,23.7,-2.5,-0.1054852321
12,KRW-T,2022-12-17,2022-12-17T09:00:00,21.2,21.7,19.8,20.7,1671321579637,1681191500.015104,82002200.28793454,21.2,-0.5,-0.0235849057
13,KRW-T,2022-12-18,2022-12-18T09:00:00,20.8,23.5,20.7,21.1,1671407974170,9912144645.121351,453866523.9097529,20.7,0.4,0.0193236715
14,KRW-T,2022-12-19,2022-12-19T09:00:00,21.2,21.4,19.3,19.9,1671494279148,1664946049.0076706,81969420.10437077,21.1,-1.2,-0.0568720379
15,KRW-T,2022-12-20,2022-12-20T09:00:00,20.0,23.1,19.6,21.4,1671580797523,5901961018.88109,276451015.9510872,19.9,1.5,0.0753768844
16,KRW-T,2022-12-21,2022-12-21T09:00:00,21.4,21.6,20.8,21.1,1671667185148,1558950627.7211192,73762940.49472736,21.4,-0.3,-0.0140186916
17,KRW-T,2022-12-22,2022-12-22T09:00:00,21.1,22.1,20.4,21.0,1671753542788,2428210510.1363153,114443366.48735069,21.1,-0.1,-0.0047393365
18,KRW-T,2022-12-23,2022-12-23T09:00:00,21.0,22.8,20.7,21.4,1671839960532,3788371456.5655084,174761921.6405323,21.0,0.4,0.019047619
19,KRW-T,2022-12-24,2022-12-24T09:00:00,21.3,22.0,21.1,21.5,1671926382163,1311304503.830898,61095839.51284521,21.4,0.1,0.0046728972
20,KRW-T,2022-12-25,2022-12-25T09:00:00,21.5,21.6,20.7,20.9,1672012764508,791348973.0250014,37605153.83252876,21.5,-0.6,-0.0279069767
21,KRW-T,2022-12-26,2022-12-26T09:00:00,20.9,20.9,20.0,20.5,1672099185867,924809108.4327155,45319511.57681248,20.9,-0.4,-0.019138756
22,KRW-T,2022-12-27,2022-12-27T09:00:00,20.4,20.6,19.9,20.1,1672185532062,741961969.5359445,36813981.72547347,20.5,-0.4,-0.0195121951
23,KRW-T,2022-12-28,2022-12-28T09:00:00,20.1,20.4,19.0,19.3,1672270918509,970040938.063669,49828439.56380253,20.1,-0.8,-0.039800995
24,KRW-T,2022-12-29,2022-12-29T09:00:00,19.2,19.9,18.5,19.2,1672358387598,819140815.5394412,42931842.40639707,19.3,-0.1,-0.0051813472
25,KRW-T,2022-12-30,2022-12-30T09:00:00,19.3,19.5,18.6,19.3,1672444795987,876600003.6233803,46213042.70528189,19.2,0.1,0.0052083333
26,KRW-T,2022-12-31,2022-12-31T09:00:00,19.4,20.9,19.0,20.6,1672531190926,1805461966.168241,90606032.25105187,19.3,1.3,0.067357513
