,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-UPP,2022-12-05,2022-12-05T09:00:00,67.6,69.9,66.6,67.9,1670284787933,3715002578.6940017,54360407.86269132,67.6,0.3,0.0044378698
1,KRW-UPP,2022-12-06,2022-12-06T09:00:00,67.8,68.1,66.2,67.2,1670371177079,1157529590.4333637,17271381.58099172,67.9,-0.7,-0.0103092784
2,KRW-UPP,2022-12-07,2022-12-07T09:00:00,67.2,69.0,63.0,64.2,1670457584638,4396477447.096342,65794342.2971459,67.2,-3.0,-0.0446428571
3,KRW-UPP,2022-12-08,2022-12-08T09:00:00,64.2,65.5,63.4,65.2,1670543993447,963449805.3291334,14973024.82468271,64.2,1.0,0.015576324
4,KRW-UPP,2022-12-09,2022-12-09T09:00:00,65.2,67.8,64.5,67.7,1670630398650,1396784758.9001167,21164735.34712338,65.2,2.5,0.0383435583
5,KRW-UPP,2022-12-10,2022-12-10T09:00:00,67.4,82.9,67.4,69.5,1670716799252,100945490345.4248,1311981239.4059162,67.7,1.8,0.0265878877
6,KRW-UPP,2022-12-11,2022-12-11T09:00:00,69.5,71.2,67.3,67.6,1670803199226,6526343104.049304,95269250.21260098,69.5,-1.9,-0.0273381295
7,KRW-UPP,2022-12-12,2022-12-12T09:00:00,67.5,67.6,63.7,65.8,1670889582251,2621785597.767848,40209005.76780705,67.6,-1.8,-0.0266272189
8,KRW-UPP,2022-12-13,2022-12-13T09:00:00,66.1,71.5,63.3,66.9,1670975955750,8635582640.439753,128510709.38378403,65.8,1.1,0.0167173252
9,KRW-UPP,2022-12-14,2022-12-14T09:00:00,67.0,69.8,65.9,68.0,1671062398741,3256580433.890272,48287841.44202401,66.9,1.1,0.0164424514
10,KRW-UPP,2022-12-15,2022-12-15T09:00:00,68.1,69.8,65.6,67.5,1671148795235,4697048996.955142,69356578.47743908,68.0,-0.5,-0.0073529412
11,KRW-UPP,2022-12-16,2022-12-16T09:00:00,67.4,71.7,63.7,65.2,1671235193385,5544782656.303567,82064829.98060606,67.5,-2.3,-0.0340740741
12,KRW-UPP,2022-12-17,2022-12-17T09:00:00,65.2,65.6,60.9,64.0,1671321579048,1423644063.4158983,22697429.32744692,65.2,-1.2,-0.018404908
13,KRW-UPP,2022-12-18,2022-12-18T09:00:00,63.5,64.7,62.7,64.2,1671407986682,871347810.7334131,13712363.53041916,64.0,0.2,0.003125
14,KRW-UPP,2022-12-19,2022-12-19T09:00:00,64.2,64.4,60.4,61.3,1671494378970,1123580862.8340323,17947138.91450712,64.2,-2.9,-0.0451713396
15,KRW-UPP,2022-12-20,2022-12-20T09:00:00,61.2,65.6,60.4,65.5,1671580794596,1159819005.1098573,18388614.56898346,61.3,4.2,0.0685154976
16,KRW-UPP,2022-12-21,2022-12-21T09:00:00,65.1,66.5,64.2,65.2,1671667165501,3017198823.108232,46201817.47106649,65.5,-0.3,-0.0045801527
17,KRW-UPP,2022-12-22,2022-12-22T09:00:00,65.1,67.7,62.7,64.5,1671753567498,2694201248.342655,41252244.53201038,65.2,-0.7,-0.0107361963
18,KRW-UPP,2022-12-23,2022-12-23T09:00:00,64.5,64.8,63.2,64.7,1671839992578,900492689.9692045,14060647.15809994,64.5,0.2,0.0031007752
19,KRW-UPP,2022-12-24,2022-12-24T09:00:00,64.6,68.0,64.2,67.1,1671926398689,3941634718.7260523,59451609.6507471,64.7,2.4,0.0370942813
20,KRW-UPP,2022-12-25,2022-12-25T09:00:00,66.9,67.4,65.1,66.9,1672012779684,1781486295.1835792,27010259.52593327,67.1,-0.2,-0.0029806259
21,KRW-UPP,2022-12-26,2022-12-26T09:00:00,66.9,70.3,64.7,65.8,1672099176468,8312867995.326799,122651463.24057171,66.9,-1.1,-0.0164424514
22,KRW-UPP,2022-12-27,2022-12-27T09:00:00,65.8,65.8,62.7,63.1,1672185582927,1396096137.2454581,21855206.80806067,65.8,-2.7,-0.0410334347
23,KRW-UPP,2022-12-28,2022-12-28T09:00:00,63.0,63.1,59.2,60.4,1672271968163,1582655768.9456646,26024697.77481591,63.1,-2.7,-0.0427892235
24,KRW-UPP,2022-12-29,2022-12-29T09:00:00,60.4,61.9,56.1,58.9,1672358393445,1557120797.1907353,26617942.02223241,60.4,-1.5,-0.0248344371
25,KRW-UPP,2022-12-30,2022-12-30T09:00:00,58.9,59.1,55.3,57.0,1672444672631,1063413895.7619818,18774956.93233937,58.9,-1.9,-0.0322580645
26,KRW-UPP,2022-12-31,2022-12-31T09:00:00,57.0,61.2,56.4,58.5,1672531195418,3276257376.3015814,55615975.11682635,57.0,1.5,0.0263157895
27,KRW-UPP,2023-01-01,2023-01-01T09:00:00,58.5,60.2,58.0,58.7,1672617567143,1727884879.347312,29173372.39996051,58.5,0.2,0.0034188034
28,KRW-UPP,2023-01-02,2023-01-02T09:00:00,58.7,60.5,57.6,59.1,1672703985760,2479825497.119268,41952209.12131947,58.7,0.4,0.0068143101
29,KRW-UPP,2023-01-03,2023-01-03T09:00:00,59.1,60.8,58.2,59.3,1672790349310,1909626363.0920749,32175124.57022412,59.1,0.2,0.0033840948
30,KRW-UPP,2023-01-04,2023-01-04T09:00:00,59.3,60.2,58.7,59.8,1672876786702,933644157.812871,15662103.17299623,59.3,0.5,0.0084317032
31,KRW-UPP,2023-01-05,2023-01-05T09:00:00,59.7,62.0,58.2,61.7,1672963199594,3008099013.0144925,50075075.97819532,59.8,1.9,0.0317725753
32,KRW-UPP,2023-01-06,2023-01-06T09:00:00,61.5,64.6,58.6,60.4,1673049591557,6062065575.243916,98452570.21804918,61.7,-1.3,-0.0210696921
33,KRW-UPP,2023-01-07,2023-01-07T09:00:00,60.4,60.6,59.7,60.4,1673135971270,626531372.7155545,10427963.00892219,60.4,,0.0
34,KRW-UPP,2023-01-08,2023-01-08T09:00:00,60.2,61.8,59.7,61.1,1673222367512,1387745063.0453062,22924121.38347801,60.4,0.7,0.011589404
35,KRW-UPP,2023-01-09,2023-01-09T09:00:00,60.9,62.7,60.3,61.9,1673308796300,2268943662.2782865,36908477.56119967,61.1,0.8,0.0130932897
36,KRW-UPP,2023-01-10,2023-01-10T09:00:00,61.9,64.2,61.6,64.2,1673395196061,3881479631.625235,61762732.39543316,61.9,2.3,0.0371567044
37,KRW-UPP,2023-01-11,2023-01-11T09:00:00,64.1,64.3,62.7,64.1,1673481554747,1849689810.5887265,29134370.5546239,64.2,-0.1,-0.0015576324
38,KRW-UPP,2023-01-12,2023-01-12T09:00:00,64.1,65.3,62.5,64.9,1673567970633,3303985755.886849,51595442.5596769,64.1,0.8,0.0124804992
39,KRW-UPP,2023-01-13,2023-01-13T09:00:00,64.9,67.5,64.3,67.1,1673654375420,2748490903.257131,41969285.32493192,64.9,2.2,0.0338983051
40,KRW-UPP,2023-01-14,2023-01-14T09:00:00,67.0,70.5,65.2,69.3,1673740783763,7410632554.264402,108893603.7706987,67.1,2.2,0.0327868852
41,KRW-UPP,2023-01-15,2023-01-15T09:00:00,69.3,72.6,67.1,71.5,1673827159526,7702660315.895003,109982270.91934673,69.3,2.2,0.0317460317
42,KRW-UPP,2023-01-16,2023-01-16T09:00:00,71.4,71.5,67.1,70.4,1673913598559,4314005922.677655,61861960.47172723,71.5,-1.1,-0.0153846154
43,KRW-UPP,2023-01-17,2023-01-17T09:00:00,70.5,76.7,68.4,74.3,1673999999128,19897964841.4996,271788719.8010482,70.4,3.9,0.0553977273
44,KRW-UPP,2023-01-18,2023-01-18T09:00:00,74.2,74.2,67.7,68.0,1674086379949,4150476961.9831476,58385665.31526504,74.3,-6.3,-0.0847913863
45,KRW-UPP,2023-01-19,2023-01-19T09:00:00,68.0,70.8,67.8,70.8,1674172793009,2288876683.7715707,33057914.24011888,68.0,2.8,0.0411764706
46,KRW-UPP,2023-01-20,2023-01-20T09:00:00,70.8,74.7,69.8,74.2,1674259196362,4671066973.825154,65055704.42341899,70.8,3.4,0.0480225989
47,KRW-UPP,2023-01-21,2023-01-21T09:00:00,74.1,89.8,74.0,77.3,1674345594186,126703817101.49438,1498103357.1557336,74.2,3.1,0.0417789757
48,KRW-UPP,2023-01-22,2023-01-22T09:00:00,77.4,77.9,75.1,76.4,1674431993700,4808472124.932033,63063057.4918722,77.3,-0.9,-0.0116429495
49,KRW-UPP,2023-01-23,2023-01-23T09:00:00,76.3,76.9,74.2,76.7,1674518397293,3012572641.300017,39914518.73398636,76.4,0.3,0.0039267016
50,KRW-UPP,2023-01-24,2023-01-24T09:00:00,76.7,78.6,72.2,74.6,1674604794074,6009361160.199469,78369642.20596576,76.7,-2.1,-0.0273794003
51,KRW-UPP,2023-01-25,2023-01-25T09:00:00,74.3,95.0,72.0,79.4,1674691197183,179821975190.86093,2114467702.969569,74.6,4.8,0.0643431635
52,KRW-UPP,2023-01-26,2023-01-26T09:00:00,79.4,84.5,77.4,79.4,1674777593929,32955964627.93676,408367752.8080773,79.4,,0.0
