,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-VET,2022-12-05,2022-12-05T09:00:00,25.9,26.2,25.7,25.8,1670284794476,2137800892.1162412,82564252.81267105,25.9,-0.1,-0.0038610039
1,KRW-VET,2022-12-06,2022-12-06T09:00:00,25.8,25.9,25.5,25.6,1670371192563,1359995528.9216423,52888789.39511869,25.8,-0.2,-0.007751938
2,KRW-VET,2022-12-07,2022-12-07T09:00:00,25.6,25.8,24.6,25.0,1670457467019,2326928127.841742,92635785.25680926,25.6,-0.6,-0.0234375
3,KRW-VET,2022-12-08,2022-12-08T09:00:00,25.1,25.5,24.9,25.4,1670543962792,1336734051.713964,53179479.89538629,25.0,0.4,0.016
4,KRW-VET,2022-12-09,2022-12-09T09:00:00,25.4,25.7,25.1,25.3,1670630352194,1291919359.238628,50901837.26184897,25.4,-0.1,-0.0039370079
5,KRW-VET,2022-12-10,2022-12-10T09:00:00,25.3,26.4,25.3,25.5,1670716797978,6029705816.090375,232831897.56360245,25.3,0.2,0.0079051383
6,KRW-VET,2022-12-11,2022-12-11T09:00:00,25.5,26.1,25.3,25.4,1670803190003,3823808318.340481,148633889.06698486,25.5,-0.1,-0.0039215686
7,KRW-VET,2022-12-12,2022-12-12T09:00:00,25.4,25.5,24.6,25.1,1670889585150,2660140448.647369,106726764.24214676,25.4,-0.3,-0.0118110236
8,KRW-VET,2022-12-13,2022-12-13T09:00:00,25.1,25.4,24.0,24.9,1670975994055,4131511906.498847,167292975.3518498,25.1,-0.2,-0.0079681275
9,KRW-VET,2022-12-14,2022-12-14T09:00:00,25.0,25.1,24.3,24.5,1671062332798,2608279475.399307,105353334.00851241,24.9,-0.4,-0.016064257
10,KRW-VET,2022-12-15,2022-12-15T09:00:00,24.6,24.6,23.9,24.0,1671148650604,3262399420.8439546,134943907.94806254,24.5,-0.5,-0.0204081633
11,KRW-VET,2022-12-16,2022-12-16T09:00:00,24.1,24.9,22.3,22.6,1671235192888,10846412483.651121,455086913.06458515,24.0,-1.4,-0.0583333333
12,KRW-VET,2022-12-17,2022-12-17T09:00:00,22.7,22.8,21.5,22.4,1671321557544,4711622493.757544,212625066.32088125,22.6,-0.2,-0.0088495575
13,KRW-VET,2022-12-18,2022-12-18T09:00:00,22.4,22.5,21.4,22.1,1671407855699,2111178304.7346163,95479237.22795574,22.4,-0.3,-0.0133928571
14,KRW-VET,2022-12-19,2022-12-19T09:00:00,22.1,22.2,20.3,20.8,1671494399129,3525396723.2588987,164409858.4829981,22.1,-1.3,-0.0588235294
15,KRW-VET,2022-12-20,2022-12-20T09:00:00,20.8,21.7,20.7,21.3,1671580778924,2638530534.994756,123820537.35863861,20.8,0.5,0.0240384615
16,KRW-VET,2022-12-21,2022-12-21T09:00:00,21.3,21.5,20.8,21.3,1671667000996,2214566684.7584968,104851526.2293014,21.3,,0.0
17,KRW-VET,2022-12-22,2022-12-22T09:00:00,21.4,21.4,20.7,21.3,1671753591737,2055162854.196933,97291483.93007231,21.3,,0.0
18,KRW-VET,2022-12-23,2022-12-23T09:00:00,21.4,21.5,21.1,21.2,1671839939855,1071096659.2025425,50270668.48666604,21.3,-0.1,-0.0046948357
19,KRW-VET,2022-12-24,2022-12-24T09:00:00,21.3,21.3,21.1,21.2,1671926364138,804998592.2261523,37978912.87104368,21.2,,0.0
20,KRW-VET,2022-12-25,2022-12-25T09:00:00,21.2,21.3,20.7,21.0,1672012777691,1176479351.9609218,55965532.32109435,21.2,-0.2,-0.0094339623
21,KRW-VET,2022-12-26,2022-12-26T09:00:00,21.0,21.0,20.4,20.8,1672099140299,2202826081.862875,106803973.38701749,21.0,-0.2,-0.0095238095
22,KRW-VET,2022-12-27,2022-12-27T09:00:00,20.8,20.8,20.1,20.5,1672185368337,1992788886.4019969,97431114.09329937,20.8,-0.3,-0.0144230769
23,KRW-VET,2022-12-28,2022-12-28T09:00:00,20.5,20.5,19.5,19.8,1672271889968,3461656350.2180686,173735904.48157963,20.5,-0.7,-0.0341463415
24,KRW-VET,2022-12-29,2022-12-29T09:00:00,19.9,20.3,19.4,20.1,1672358365687,2150569101.06168,108519421.17211516,19.8,0.3,0.0151515152
25,KRW-VET,2022-12-30,2022-12-30T09:00:00,20.1,20.1,19.4,20.0,1672444678497,2186070345.8011503,110949239.39520021,20.1,-0.1,-0.0049751244
