,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-XEC,2022-12-05,2022-12-05T09:00:00,0.0394,0.0402,0.0393,0.0395,1670284789356,2953537493.268474,74569805270.71928,0.0395,,0.0
1,KRW-XEC,2022-12-06,2022-12-06T09:00:00,0.0395,0.0397,0.0393,0.0397,1670371166793,1622105705.9288762,41071232872.5461,0.0395,0.0002,0.0050632911
2,KRW-XEC,2022-12-07,2022-12-07T09:00:00,0.0396,0.0397,0.0378,0.0383,1670457575827,3063151842.77791,79351917184.36563,0.0397,-0.0014,-0.0352644836
3,KRW-XEC,2022-12-08,2022-12-08T09:00:00,0.0383,0.0394,0.0383,0.0388,1670543981490,3550236040.733248,91721786786.244,0.0383,0.0005,0.0130548303
4,KRW-XEC,2022-12-09,2022-12-09T09:00:00,0.039,0.0393,0.0386,0.0389,1670630381710,2175967044.121764,55974365009.77808,0.0388,0.0001,0.0025773196
5,KRW-XEC,2022-12-10,2022-12-10T09:00:00,0.0389,0.0396,0.0387,0.0393,1670716781776,2735835578.7079988,69916825656.51459,0.0389,0.0004,0.0102827763
6,KRW-XEC,2022-12-11,2022-12-11T09:00:00,0.0393,0.0397,0.0385,0.0387,1670803172120,2106782868.7162354,53747782500.708275,0.0393,-0.0006,-0.0152671756
7,KRW-XEC,2022-12-12,2022-12-12T09:00:00,0.0388,0.0388,0.0374,0.0383,1670889579083,3782130097.327578,99869413993.40932,0.0387,-0.0004,-0.0103359173
8,KRW-XEC,2022-12-13,2022-12-13T09:00:00,0.0382,0.0388,0.0368,0.0383,1670975988511,3489763818.255753,92050192490.64642,0.0383,,0.0
9,KRW-XEC,2022-12-14,2022-12-14T09:00:00,0.0384,0.0384,0.0375,0.0376,1671062383341,2279901419.203893,60089264157.32789,0.0383,-0.0007,-0.0182767624
10,KRW-XEC,2022-12-15,2022-12-15T09:00:00,0.0376,0.0379,0.0368,0.0371,1671148764500,2408464860.3533587,64432247071.90016,0.0376,-0.0005,-0.0132978723
11,KRW-XEC,2022-12-16,2022-12-16T09:00:00,0.0372,0.0374,0.0331,0.0337,1671235189018,4423898754.06074,124494847467.27988,0.0371,-0.0034,-0.0916442049
12,KRW-XEC,2022-12-17,2022-12-17T09:00:00,0.0337,0.034,0.0318,0.0334,1671321586646,3568842419.010013,108745847157.21638,0.0337,-0.0003,-0.0089020772
13,KRW-XEC,2022-12-18,2022-12-18T09:00:00,0.0334,0.0335,0.0328,0.033,1671407998739,1079731623.8981407,32556403445.676247,0.0334,-0.0004,-0.0119760479
14,KRW-XEC,2022-12-19,2022-12-19T09:00:00,0.0331,0.0332,0.0297,0.0305,1671494398112,3601542476.6729712,114820741693.66948,0.033,-0.0025,-0.0757575758
15,KRW-XEC,2022-12-20,2022-12-20T09:00:00,0.0305,0.0318,0.0298,0.0317,1671580792152,2732882450.9055777,87779538824.03679,0.0305,0.0012,0.0393442623
16,KRW-XEC,2022-12-21,2022-12-21T09:00:00,0.0317,0.0317,0.0307,0.0311,1671667183029,1787505979.6492815,57247024031.75192,0.0317,-0.0006,-0.0189274448
17,KRW-XEC,2022-12-22,2022-12-22T09:00:00,0.0313,0.0313,0.0303,0.0313,1671753587435,1653410482.0367985,53491321570.18708,0.0311,0.0002,0.0064308682
18,KRW-XEC,2022-12-23,2022-12-23T09:00:00,0.0313,0.0316,0.0309,0.0314,1671839975751,1018743109.5054042,32558331824.582874,0.0313,0.0001,0.0031948882
19,KRW-XEC,2022-12-24,2022-12-24T09:00:00,0.0315,0.0316,0.0311,0.0313,1671926382165,602465071.1167765,19224675211.23509,0.0314,-0.0001,-0.0031847134
20,KRW-XEC,2022-12-25,2022-12-25T09:00:00,0.0314,0.0315,0.0306,0.0309,1672012621164,988035626.2714504,31834027359.374847,0.0313,-0.0004,-0.0127795527
21,KRW-XEC,2022-12-26,2022-12-26T09:00:00,0.031,0.032,0.0304,0.0307,1672099169106,4058682907.2779465,130829563132.21535,0.0309,-0.0002,-0.0064724919
22,KRW-XEC,2022-12-27,2022-12-27T09:00:00,0.0307,0.0309,0.0294,0.0298,1672185577353,2460985092.5581193,81979080055.99684,0.0307,-0.0009,-0.0293159609
23,KRW-XEC,2022-12-28,2022-12-28T09:00:00,0.0298,0.0298,0.0275,0.0282,1672271973205,4066984160.6855927,143480040379.3484,0.0298,-0.0016,-0.0536912752
