,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-XRP,2022-12-05,2022-12-05T09:00:00,523.0,526.0,514.0,521.0,1670284799064,91552245551.62416,175379113.96618754,523.0,-2.0,-0.0038240918
1,KRW-XRP,2022-12-06,2022-12-06T09:00:00,522.0,524.0,511.0,523.0,1670371198467,70298169204.77562,135954923.69355544,521.0,2.0,0.0038387716
2,KRW-XRP,2022-12-07,2022-12-07T09:00:00,524.0,524.0,503.0,514.0,1670457599887,85255224436.61751,166692725.87679577,523.0,-9.0,-0.017208413
3,KRW-XRP,2022-12-08,2022-12-08T09:00:00,514.0,527.0,513.0,524.0,1670543999905,77407858620.7742,149062440.69363466,514.0,10.0,0.0194552529
4,KRW-XRP,2022-12-09,2022-12-09T09:00:00,525.0,525.0,514.0,518.0,1670630397286,59140060808.685486,113944835.4855722,524.0,-6.0,-0.0114503817
5,KRW-XRP,2022-12-10,2022-12-10T09:00:00,519.0,519.0,515.0,515.0,1670716796012,39003198680.140045,75463769.46291678,518.0,-3.0,-0.0057915058
6,KRW-XRP,2022-12-11,2022-12-11T09:00:00,516.0,517.0,506.0,508.0,1670803200013,42054490185.17279,81968087.62508437,515.0,-7.0,-0.013592233
7,KRW-XRP,2022-12-12,2022-12-12T09:00:00,507.0,518.0,495.0,514.0,1670889600002,92751033278.29053,184646521.26542714,508.0,6.0,0.0118110236
8,KRW-XRP,2022-12-13,2022-12-13T09:00:00,514.0,521.0,499.0,515.0,1670975998347,140644136580.36575,275772051.61576164,514.0,1.0,0.0019455253
9,KRW-XRP,2022-12-14,2022-12-14T09:00:00,515.0,516.0,498.0,504.0,1671062394764,78556866166.36092,154538888.93157563,515.0,-11.0,-0.0213592233
10,KRW-XRP,2022-12-15,2022-12-15T09:00:00,504.0,507.0,495.0,499.0,1671148791757,73942112412.10776,147801128.49631423,504.0,-5.0,-0.0099206349
11,KRW-XRP,2022-12-16,2022-12-16T09:00:00,500.0,500.0,462.0,470.0,1671235199349,134911355764.02994,279542601.612449,499.0,-29.0,-0.0581162325
12,KRW-XRP,2022-12-17,2022-12-17T09:00:00,470.0,475.0,461.0,470.0,1671321597845,83090004741.19948,177406029.923645,470.0,,0.0
13,KRW-XRP,2022-12-18,2022-12-18T09:00:00,471.0,472.0,462.0,465.0,1671407995463,41896437172.918396,89755675.07088456,470.0,-5.0,-0.0106382979
14,KRW-XRP,2022-12-19,2022-12-19T09:00:00,465.0,467.0,440.0,447.0,1671494398502,112777999817.55661,250450938.94375387,465.0,-18.0,-0.0387096774
15,KRW-XRP,2022-12-20,2022-12-20T09:00:00,447.0,460.0,442.0,455.0,1671580799884,98739838783.85542,219755900.10788321,447.0,8.0,0.0178970917
16,KRW-XRP,2022-12-21,2022-12-21T09:00:00,455.0,457.0,442.0,450.0,1671667195452,66498959368.89932,148526470.468809,455.0,-5.0,-0.010989011
17,KRW-XRP,2022-12-22,2022-12-22T09:00:00,450.0,455.0,444.0,455.0,1671753597690,66948460985.03449,149078467.48304603,450.0,5.0,0.0111111111
18,KRW-XRP,2022-12-23,2022-12-23T09:00:00,455.0,462.0,450.0,461.0,1671839996931,51210111518.64825,112459719.20354486,455.0,6.0,0.0131868132
19,KRW-XRP,2022-12-24,2022-12-24T09:00:00,461.0,462.0,458.0,459.0,1671926398273,22224107435.578594,48383184.21869987,461.0,-2.0,-0.0043383948
20,KRW-XRP,2022-12-25,2022-12-25T09:00:00,458.0,459.0,447.0,449.0,1672012793719,38025956513.05894,84103695.28614455,459.0,-10.0,-0.0217864924
21,KRW-XRP,2022-12-26,2022-12-26T09:00:00,449.0,475.0,448.0,469.0,1672099199171,90428441984.10472,196471157.43539265,449.0,20.0,0.0445434298
