,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-XTZ,2022-12-05,2022-12-05T09:00:00,1345.0,1375.0,1340.0,1350.0,1670284765496,1693985477.385292,1247179.00021626,1345.0,5.0,0.0037174721
1,KRW-XTZ,2022-12-06,2022-12-06T09:00:00,1345.0,1375.0,1345.0,1355.0,1670371179376,1368136318.6605878,1006486.48424593,1350.0,5.0,0.0037037037
2,KRW-XTZ,2022-12-07,2022-12-07T09:00:00,1355.0,1365.0,1280.0,1325.0,1670457381031,1649256804.8034306,1244387.62978965,1355.0,-30.0,-0.0221402214
3,KRW-XTZ,2022-12-08,2022-12-08T09:00:00,1325.0,1340.0,1305.0,1335.0,1670543992580,799960641.8377393,605541.25968886,1325.0,10.0,0.0075471698
4,KRW-XTZ,2022-12-09,2022-12-09T09:00:00,1335.0,1340.0,1310.0,1315.0,1670630361222,1021193816.2033495,771659.80746804,1335.0,-20.0,-0.0149812734
5,KRW-XTZ,2022-12-10,2022-12-10T09:00:00,1310.0,1340.0,1310.0,1330.0,1670716786096,940791392.0999488,709018.81588512,1315.0,15.0,0.0114068441
6,KRW-XTZ,2022-12-11,2022-12-11T09:00:00,1325.0,1340.0,1315.0,1315.0,1670803175466,1036704961.0610166,779140.12024436,1330.0,-15.0,-0.0112781955
7,KRW-XTZ,2022-12-12,2022-12-12T09:00:00,1315.0,1315.0,1260.0,1280.0,1670889519317,1505197954.6273696,1173225.19031648,1315.0,-35.0,-0.0266159696
8,KRW-XTZ,2022-12-13,2022-12-13T09:00:00,1280.0,1290.0,1205.0,1270.0,1670975977266,2906414851.61353,2328291.44835226,1280.0,-10.0,-0.0078125
9,KRW-XTZ,2022-12-14,2022-12-14T09:00:00,1270.0,1285.0,1235.0,1240.0,1671062299045,976162724.2676176,773810.80728153,1270.0,-30.0,-0.0236220472
10,KRW-XTZ,2022-12-15,2022-12-15T09:00:00,1245.0,1295.0,1220.0,1270.0,1671148794773,3679703153.8827367,2939847.43243671,1240.0,30.0,0.0241935484
11,KRW-XTZ,2022-12-16,2022-12-16T09:00:00,1265.0,1265.0,1110.0,1120.0,1671235166549,2205213637.8755646,1839159.57455121,1270.0,-150.0,-0.1181102362
12,KRW-XTZ,2022-12-17,2022-12-17T09:00:00,1130.0,1150.0,1095.0,1120.0,1671321584430,1655448354.6053858,1473386.76497478,1120.0,,0.0
13,KRW-XTZ,2022-12-18,2022-12-18T09:00:00,1120.0,1125.0,1095.0,1105.0,1671407861451,811546302.8426362,729962.02726509,1120.0,-15.0,-0.0133928571
14,KRW-XTZ,2022-12-19,2022-12-19T09:00:00,1110.0,1120.0,1000.0,1020.0,1671494394679,1527710300.1101592,1438688.69701187,1105.0,-85.0,-0.0769230769
15,KRW-XTZ,2022-12-20,2022-12-20T09:00:00,1020.0,1060.0,1015.0,1050.0,1671580712244,919914406.0257863,881081.86740869,1020.0,30.0,0.0294117647
16,KRW-XTZ,2022-12-21,2022-12-21T09:00:00,1045.0,1060.0,1030.0,1055.0,1671667175685,871042215.6441557,834404.854548,1050.0,5.0,0.0047619048
17,KRW-XTZ,2022-12-22,2022-12-22T09:00:00,1050.0,1055.0,1015.0,1050.0,1671753517524,764916563.9893909,739662.38860746,1055.0,-5.0,-0.0047393365
18,KRW-XTZ,2022-12-23,2022-12-23T09:00:00,1050.0,1060.0,1035.0,1050.0,1671839630747,635559369.025297,606778.25254238,1050.0,,0.0
19,KRW-XTZ,2022-12-24,2022-12-24T09:00:00,1045.0,1050.0,1040.0,1040.0,1671926081634,289228982.58025336,276704.66302053,1050.0,-10.0,-0.0095238095
20,KRW-XTZ,2022-12-25,2022-12-25T09:00:00,1040.0,1045.0,1005.0,1015.0,1672012694266,689545898.750757,675928.99617922,1040.0,-25.0,-0.0240384615
21,KRW-XTZ,2022-12-26,2022-12-26T09:00:00,1015.0,1025.0,1000.0,1025.0,1672099112362,520223873.3592404,513621.45034671,1015.0,10.0,0.0098522167
22,KRW-XTZ,2022-12-27,2022-12-27T09:00:00,1025.0,1025.0,976.0,988.0,1672185583851,1295716803.3946948,1301245.45517891,1025.0,-37.0,-0.036097561
