,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ZIL,2022-12-05,2022-12-05T09:00:00,30.7,31.3,30.2,30.4,1670284790300,2882347884.71057,93645110.68150017,30.6,-0.2,-0.0065359477
1,KRW-ZIL,2022-12-06,2022-12-06T09:00:00,30.4,30.6,29.8,30.1,1670371196530,2561399207.113039,84564556.01408947,30.4,-0.3,-0.0098684211
2,KRW-ZIL,2022-12-07,2022-12-07T09:00:00,30.1,30.3,28.4,29.3,1670457591772,3503042982.138663,119486193.97787195,30.1,-0.8,-0.0265780731
3,KRW-ZIL,2022-12-08,2022-12-08T09:00:00,29.2,29.9,28.7,29.7,1670543989877,2426137385.6462045,83033099.06725371,29.3,0.4,0.0136518771
4,KRW-ZIL,2022-12-09,2022-12-09T09:00:00,29.7,29.9,29.3,29.7,1670630377569,1783105034.6435118,60298041.43859381,29.7,,0.0
5,KRW-ZIL,2022-12-10,2022-12-10T09:00:00,29.8,30.1,29.6,30.1,1670716776867,1947183295.5535424,65222653.75010508,29.7,0.4,0.0134680135
6,KRW-ZIL,2022-12-11,2022-12-11T09:00:00,30.1,30.2,29.2,29.3,1670803194322,2314398854.093062,77708904.39504337,30.1,-0.8,-0.0265780731
7,KRW-ZIL,2022-12-12,2022-12-12T09:00:00,29.4,29.7,28.5,29.0,1670889593974,3470170615.5996633,119727270.11253975,29.3,-0.3,-0.0102389078
8,KRW-ZIL,2022-12-13,2022-12-13T09:00:00,29.0,29.4,27.5,29.0,1670975951759,4002715295.4940467,140313803.52663937,29.0,,0.0
9,KRW-ZIL,2022-12-14,2022-12-14T09:00:00,29.0,29.2,28.1,28.5,1671062395090,1836274448.8493304,63541784.38631222,29.0,-0.5,-0.0172413793
10,KRW-ZIL,2022-12-15,2022-12-15T09:00:00,28.6,28.7,27.8,28.0,1671148788112,2146049080.529811,76075796.5703622,28.5,-0.5,-0.0175438596
11,KRW-ZIL,2022-12-16,2022-12-16T09:00:00,27.9,28.0,25.0,25.5,1671235192387,3788845484.549331,141336253.81886008,28.0,-2.5,-0.0892857143
12,KRW-ZIL,2022-12-17,2022-12-17T09:00:00,25.5,25.6,24.1,25.2,1671321529235,2756041867.9969635,110920502.12212285,25.5,-0.3,-0.0117647059
13,KRW-ZIL,2022-12-18,2022-12-18T09:00:00,25.3,25.3,24.6,24.7,1671407982610,1199075744.9706628,48103715.54754481,25.2,-0.5,-0.0198412698
14,KRW-ZIL,2022-12-19,2022-12-19T09:00:00,24.7,24.9,22.3,22.8,1671494386635,2877881612.0081744,121378284.43272828,24.7,-1.9,-0.0769230769
15,KRW-ZIL,2022-12-20,2022-12-20T09:00:00,22.8,23.8,22.8,23.5,1671580791297,3041131156.8194094,130137265.75160393,22.8,0.7,0.0307017544
16,KRW-ZIL,2022-12-21,2022-12-21T09:00:00,23.5,23.6,22.8,23.4,1671667169916,1627137145.5374897,69979476.48541206,23.5,-0.1,-0.0042553191
17,KRW-ZIL,2022-12-22,2022-12-22T09:00:00,23.4,23.7,23.0,23.6,1671753585698,1866416378.0242484,79792927.66691339,23.4,0.2,0.0085470085
18,KRW-ZIL,2022-12-23,2022-12-23T09:00:00,23.7,23.7,23.4,23.7,1671839984957,1089614722.923034,46315940.18040261,23.6,0.1,0.0042372881
19,KRW-ZIL,2022-12-24,2022-12-24T09:00:00,23.7,23.7,23.4,23.4,1671926351612,785244438.1306107,33368732.98498082,23.7,-0.3,-0.0126582278
20,KRW-ZIL,2022-12-25,2022-12-25T09:00:00,23.4,23.5,22.5,22.8,1672012770172,1205104699.7950895,52421807.9938649,23.4,-0.6,-0.0256410256
21,KRW-ZIL,2022-12-26,2022-12-26T09:00:00,22.9,22.9,21.9,22.7,1672099097402,1498594389.0473711,66831154.00732363,22.8,-0.1,-0.0043859649
22,KRW-ZIL,2022-12-27,2022-12-27T09:00:00,22.7,22.7,21.4,22.0,1672185587189,1718510795.3104706,77725116.5165958,22.7,-0.7,-0.0308370044
23,KRW-ZIL,2022-12-28,2022-12-28T09:00:00,22.0,22.1,20.4,20.8,1672271998583,2157875627.7449512,102451579.68347636,22.0,-1.2,-0.0545454545
24,KRW-ZIL,2022-12-29,2022-12-29T09:00:00,20.8,21.2,19.8,20.4,1672358387171,2138613807.2967918,104541402.94941793,20.8,-0.4,-0.0192307692
