,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ZRX,2022-12-05,2022-12-05T09:00:00,262.0,263.0,253.0,256.0,1670284796693,1584957668.4634185,6111188.70711367,263.0,-7.0,-0.0266159696
1,KRW-ZRX,2022-12-06,2022-12-06T09:00:00,256.0,259.0,254.0,257.0,1670371007275,674038654.7001576,2628693.83848803,256.0,1.0,0.00390625
2,KRW-ZRX,2022-12-07,2022-12-07T09:00:00,258.0,259.0,243.0,246.0,1670457599800,1395891342.539916,5631484.3918469,257.0,-11.0,-0.0428015564
3,KRW-ZRX,2022-12-08,2022-12-08T09:00:00,246.0,253.0,243.0,252.0,1670543985481,1075204108.028245,4353519.17740559,246.0,6.0,0.0243902439
4,KRW-ZRX,2022-12-09,2022-12-09T09:00:00,252.0,255.0,249.0,252.0,1670630334742,809258830.862682,3207696.65426225,252.0,,0.0
5,KRW-ZRX,2022-12-10,2022-12-10T09:00:00,253.0,270.0,251.0,257.0,1670716775966,4150451436.1781363,15982108.63211738,252.0,5.0,0.0198412698
6,KRW-ZRX,2022-12-11,2022-12-11T09:00:00,257.0,272.0,255.0,260.0,1670803163988,6228449624.5901375,23636911.68643109,257.0,3.0,0.0116731518
7,KRW-ZRX,2022-12-12,2022-12-12T09:00:00,259.0,260.0,246.0,252.0,1670889580311,1914500386.498236,7611027.71424253,260.0,-8.0,-0.0307692308
8,KRW-ZRX,2022-12-13,2022-12-13T09:00:00,252.0,255.0,237.0,252.0,1670975996913,1888415989.5289195,7668521.5687013,252.0,,0.0
9,KRW-ZRX,2022-12-14,2022-12-14T09:00:00,251.0,256.0,248.0,249.0,1671062355412,1419448047.5638576,5628066.46677951,252.0,-3.0,-0.0119047619
10,KRW-ZRX,2022-12-15,2022-12-15T09:00:00,250.0,255.0,245.0,248.0,1671148681972,2028423962.4593322,8066347.25202758,249.0,-1.0,-0.0040160643
11,KRW-ZRX,2022-12-16,2022-12-16T09:00:00,247.0,249.0,219.0,223.0,1671235133978,1808404490.1816452,7649812.69283348,248.0,-25.0,-0.1008064516
12,KRW-ZRX,2022-12-17,2022-12-17T09:00:00,223.0,226.0,212.0,223.0,1671320763211,1145655462.665053,5224840.26486299,223.0,,0.0
13,KRW-ZRX,2022-12-18,2022-12-18T09:00:00,223.0,224.0,217.0,223.0,1671407967161,486956466.7033715,2201491.21553271,223.0,,0.0
14,KRW-ZRX,2022-12-19,2022-12-19T09:00:00,222.0,226.0,205.0,208.0,1671494392843,948851691.8112824,4401835.41529855,223.0,-15.0,-0.067264574
15,KRW-ZRX,2022-12-20,2022-12-20T09:00:00,208.0,220.0,207.0,220.0,1671580657853,973345553.9409275,4541375.32080604,208.0,12.0,0.0576923077
16,KRW-ZRX,2022-12-21,2022-12-21T09:00:00,220.0,223.0,216.0,221.0,1671667199814,923541104.25546,4202328.5339828,220.0,1.0,0.0045454545
17,KRW-ZRX,2022-12-22,2022-12-22T09:00:00,221.0,222.0,210.0,218.0,1671753563610,711564570.9053613,3285155.50664759,221.0,-3.0,-0.0135746606
18,KRW-ZRX,2022-12-23,2022-12-23T09:00:00,217.0,220.0,216.0,219.0,1671839926300,448765428.7026058,2064478.24956868,218.0,1.0,0.004587156
19,KRW-ZRX,2022-12-24,2022-12-24T09:00:00,218.0,221.0,218.0,220.0,1671926371631,374033864.3709418,1706111.55169323,219.0,1.0,0.00456621
20,KRW-ZRX,2022-12-25,2022-12-25T09:00:00,221.0,221.0,211.0,213.0,1672012703063,553430830.0185745,2574107.04534732,220.0,-7.0,-0.0318181818
21,KRW-ZRX,2022-12-26,2022-12-26T09:00:00,214.0,214.0,208.0,210.0,1672099010150,537879637.505218,2557153.46280135,213.0,-3.0,-0.014084507
22,KRW-ZRX,2022-12-27,2022-12-27T09:00:00,210.0,212.0,201.0,205.0,1672185507271,463642555.88319355,2244542.39813004,210.0,-5.0,-0.0238095238
23,KRW-ZRX,2022-12-28,2022-12-28T09:00:00,206.0,206.0,194.0,196.0,1672271836176,672025067.1237686,3379765.05960403,205.0,-9.0,-0.043902439
24,KRW-ZRX,2022-12-29,2022-12-29T09:00:00,196.0,201.0,191.0,196.0,1672358311982,867049258.3957918,4401451.95348828,196.0,,0.0
25,KRW-ZRX,2022-12-30,2022-12-30T09:00:00,195.0,196.0,184.0,189.0,1672444799866,1128149393.457485,6028457.0651336,196.0,-7.0,-0.0357142857
26,KRW-ZRX,2022-12-31,2022-12-31T09:00:00,189.0,193.0,187.0,189.0,1672531195725,1557168210.859081,8150012.39430349,189.0,,0.0
27,KRW-ZRX,2023-01-01,2023-01-01T09:00:00,189.0,192.0,187.0,192.0,1672617452511,555016212.079755,2923684.53172024,189.0,3.0,0.0158730159
28,KRW-ZRX,2023-01-02,2023-01-02T09:00:00,191.0,200.0,188.0,198.0,1672703989499,860372279.8991148,4457719.96073863,192.0,6.0,0.03125
29,KRW-ZRX,2023-01-03,2023-01-03T09:00:00,199.0,200.0,194.0,198.0,1672790367124,841837637.3877907,4279607.37078787,198.0,,0.0
30,KRW-ZRX,2023-01-04,2023-01-04T09:00:00,198.0,205.0,197.0,203.0,1672876799799,711219271.9242854,3531979.04124856,198.0,5.0,0.0252525253
31,KRW-ZRX,2023-01-05,2023-01-05T09:00:00,204.0,207.0,199.0,203.0,1672963193990,852119903.0533104,4218439.84143579,203.0,,0.0
32,KRW-ZRX,2023-01-06,2023-01-06T09:00:00,203.0,205.0,193.0,203.0,1673049480333,890715687.7518318,4513527.44797613,203.0,,0.0
33,KRW-ZRX,2023-01-07,2023-01-07T09:00:00,203.0,206.0,201.0,201.0,1673135954296,266886432.16925222,1312721.13682918,203.0,-2.0,-0.0098522167
34,KRW-ZRX,2023-01-08,2023-01-08T09:00:00,202.0,211.0,198.0,210.0,1673222369781,476951940.1595974,2334215.63046639,201.0,9.0,0.0447761194
35,KRW-ZRX,2023-01-09,2023-01-09T09:00:00,210.0,220.0,209.0,214.0,1673308757287,2653101569.5560036,12310675.44110038,210.0,4.0,0.019047619
36,KRW-ZRX,2023-01-10,2023-01-10T09:00:00,215.0,220.0,209.0,220.0,1673395177445,1686541003.5398006,7836309.13918261,214.0,6.0,0.0280373832
37,KRW-ZRX,2023-01-11,2023-01-11T09:00:00,220.0,224.0,213.0,223.0,1673481543903,1340294733.934185,6156899.94884035,220.0,3.0,0.0136363636
38,KRW-ZRX,2023-01-12,2023-01-12T09:00:00,224.0,230.0,217.0,228.0,1673567919030,2241988533.62656,9989702.79189454,223.0,5.0,0.0224215247
39,KRW-ZRX,2023-01-13,2023-01-13T09:00:00,229.0,239.0,225.0,239.0,1673654395956,1440473693.8588045,6232766.9833733,228.0,11.0,0.048245614
40,KRW-ZRX,2023-01-14,2023-01-14T09:00:00,240.0,280.0,237.0,255.0,1673740763492,25538362708.459614,97301788.52111118,239.0,16.0,0.0669456067
41,KRW-ZRX,2023-01-15,2023-01-15T09:00:00,255.0,255.0,243.0,252.0,1673827184544,4353749693.660401,17414946.33668942,255.0,-3.0,-0.0117647059
42,KRW-ZRX,2023-01-16,2023-01-16T09:00:00,252.0,269.0,248.0,261.0,1673913596548,6231284784.625921,24164814.36290967,252.0,9.0,0.0357142857
43,KRW-ZRX,2023-01-17,2023-01-17T09:00:00,261.0,262.0,253.0,260.0,1673999992569,2701382038.267075,10470371.86562937,261.0,-1.0,-0.0038314176
44,KRW-ZRX,2023-01-18,2023-01-18T09:00:00,260.0,281.0,245.0,246.0,1674086375221,11809723847.987886,44513115.19883699,260.0,-14.0,-0.0538461538
45,KRW-ZRX,2023-01-19,2023-01-19T09:00:00,246.0,270.0,245.0,254.0,1674172797863,5827994681.1581135,22647297.20391983,246.0,8.0,0.0325203252
46,KRW-ZRX,2023-01-20,2023-01-20T09:00:00,254.0,271.0,250.0,270.0,1674259197337,2746796357.432668,10671539.94206505,254.0,16.0,0.062992126
47,KRW-ZRX,2023-01-21,2023-01-21T09:00:00,271.0,290.0,266.0,274.0,1674345572101,6690505090.335238,24056019.03751504,270.0,4.0,0.0148148148
48,KRW-ZRX,2023-01-22,2023-01-22T09:00:00,274.0,310.0,273.0,284.0,1674431993876,17247895160.9417,58833625.97904688,274.0,10.0,0.0364963504
